[asd]-[]
[2026-04-30 17:32:05]-[asd]-[]
[2026-04-30 17:47:02]-[Preço do produto maior que o máximo permitido]-[14283]
[2026-04-30 17:47:02]-[Preço do produto maior que o máximo permitido]-[14284]
[2026-04-30 17:47:02]-[Preço do produto maior que o máximo permitido]-[20802]
[2026-04-30 17:47:02]-[Preço do produto maior que o máximo permitido]-[20805]
[2026-04-30 17:47:02]-[Preço do produto maior que o máximo permitido]-[21168]
[2026-04-30 17:47:02]-[Preço do produto maior que o máximo permitido]-[21190]
[2026-04-30 17:47:02]-[Preço do produto maior que o máximo permitido]-[31580]
[2026-04-30 17:47:02]-[Preço do produto maior que o máximo permitido]-[31581]
[2026-04-30 17:47:02]-[Preço do produto maior que o máximo permitido]-[31582]
[2026-04-30 17:47:02]-[Preço do produto maior que o máximo permitido]-[31583]
[2026-04-30 17:47:02]-[Preço do produto maior que o máximo permitido]-[32607]
[2026-04-30 17:47:02]-[Preço do produto maior que o máximo permitido]-[40351]
[2026-04-30 17:47:02]-[Preço do produto maior que o máximo permitido]-[40398]
[2026-04-30 17:51:03]-[Preço do produto maior que o máximo permitido!]-[id: 14283]
[2026-04-30 17:51:03]-[Preço do produto maior que o máximo permitido!]-[id: 14284]
[2026-04-30 17:51:03]-[Preço do produto maior que o máximo permitido!]-[id: 20802]
[2026-04-30 17:51:03]-[Preço do produto maior que o máximo permitido!]-[id: 20805]
[2026-04-30 17:51:03]-[Preço do produto maior que o máximo permitido!]-[id: 21168]
[2026-04-30 17:51:03]-[Preço do produto maior que o máximo permitido!]-[id: 21190]
[2026-04-30 17:51:03]-[Preço do produto maior que o máximo permitido!]-[id: 31580]
[2026-04-30 17:51:03]-[Preço do produto maior que o máximo permitido!]-[id: 31581]
[2026-04-30 17:51:03]-[Preço do produto maior que o máximo permitido!]-[id: 31582]
[2026-04-30 17:51:03]-[Preço do produto maior que o máximo permitido!]-[id: 31583]
[2026-04-30 17:51:03]-[Preço do produto maior que o máximo permitido!]-[id: 32607]
[2026-04-30 17:51:03]-[Preço do produto maior que o máximo permitido!]-[id: 40351]
[2026-04-30 17:51:03]-[Preço do produto maior que o máximo permitido!]-[id: 40398]
